id;clubname;clubdescription;numberofmembers;numberofevents
1;system quantify maroon;JSON Buckinghamshire;97752;92970
2;Concrete Licensed;Intelligent Wooden Sharable;28041;84638
3;Virginia New;BahamianXX;87391;91993
4;optical system;Generic web-readiness;4736;95738
5;applications Intelligent Natio;primary Planner;8291;54119
6;Ways synthesizing;Technician composite;70690;85256
7;Cambridgeshire Supervisor hack;ConcreteXX;96705;87018
8;Chicken Puerto;SoftXXXXXX;78;43779
9;Massachusetts;sky Versatile compress;22399;30837
10;Bacon;panel Springs;20082;47380
