id;clubname;clubdescription;numberofmembers;numberofevents;university
1;Paradigm;B2BXXXXXXX;72128;15917;"%IUniversityb"
2;Pennsylvania partnerships Sol;Account Massachusetts portals;64067;37423;"g$rN<UniversityWVO}"
3;Garden Bacon;Account Account Baby;37207;37844;"1&University"
4;Handcrafted Licensed;portalsXXX;2485;66146;"!idUniversity/M2"
5;Credit;THX quantifying invoice;60589;98663;"/R-YqUniversitypK"
6;paradigms;bypassingX;80559;34858;"vbUniversity"
7;transmitting Squares Chief;RAMXXXXXXX;82434;61116;"tTVuoUniversity.V"
8;Investment;Team-oriented Markets Rand;44700;78246;"R ~UniversityHxZ"
9;functionalities Pants;mission-critical Synergistic;82896;64757;"-A-PUniversity1-P"
10;Chicken Gorgeous Niger;unleash Producer copy;91199;85928;"O,University_N\T"
