id;event;date;location;eventdescription;category
1;User-centric indexing Arkansas;2023-04-29T22:33:13;online back-end;QualityXXX;Culture
2;withdrawal;2023-04-30T09:54:40;Handmade defect;Innovative EXE;Dance
3;system Directives action-items;2023-04-30T01:33:20;methodical purple;engineXXXX;Culture
4;LankaXXXXX;2023-04-30T06:00:45;richXXXXXX;Chips Streamlined invoice;Fest
5;Peru andXX;2023-04-30T10:40:41;Fresh bandwidth Money;Buckinghamshire Borders;Culture
6;Tasty payment;2023-04-30T13:23:01;Buckinghamshire Soft;state Sterling;Fest
7;SoftXXXXXX;2023-04-30T01:00:27;Investment orchestration;e-business Lead Hat;Other
8;backing deposit Account;2023-04-30T18:38:30;Music Tuna;Chair bricks-and-clicks Phased;Other
9;SAS Streamlined Global;2023-04-30T18:46:03;blue Frozen Street;ChiefXXXXX;Fest
10;Representative;2023-04-30T14:39:36;bottom-line pink;Won tealXX;Dance
